[2026-01-09 13:34:47,493] 23 root - INFO - Initiate the data ingestion
[2026-01-09 13:34:49,657] 25 root - INFO - Data Initiation Completed
[2026-01-09 13:34:49,658] 24 root - INFO - Initializing DataValidation
[2026-01-09 13:34:49,665] 36 root - INFO - Schema loaded successfully
[2026-01-09 13:34:49,665] 29 root - INFO - Initiate the data Validation
[2026-01-09 13:34:49,665] 111 root - INFO - Starting data validation
[2026-01-09 13:34:49,704] 56 root - INFO - Expected columns count: 31
[2026-01-09 13:34:49,705] 57 root - INFO - Dataframe columns count: 31
[2026-01-09 13:34:49,890] 126 root - INFO - Data validation completed successfully
[2026-01-09 13:34:49,893] 31 root - INFO - data validation completed
[2026-01-09 13:34:49,893] 41 root - INFO - data Transformation started
[2026-01-09 13:34:49,893] 66 root - INFO - Starting data transformation
[2026-01-09 13:34:49,928] 49 root - INFO - Creating data transformer object
[2026-01-09 13:34:49,943] 59 root - INFO - Entered the save_object method of MainUtils class
[2026-01-09 13:34:49,946] 63 root - INFO - Exited the save_object method of MainUtils class
[2026-01-09 13:34:49,946] 59 root - INFO - Entered the save_object method of MainUtils class
[2026-01-09 13:34:49,949] 63 root - INFO - Exited the save_object method of MainUtils class
[2026-01-09 13:34:49,951] 45 root - INFO - data Transformation completed
[2026-01-09 13:34:49,951] 47 root - INFO - Model Training sstared
[2026-01-09 13:34:49,951] 46 root - INFO - Model training started
[2026-01-09 13:38:18,960] 115 root - INFO - Best model selected: Random Forest
[2026-01-09 13:38:19,028] 59 root - INFO - Entered the save_object method of MainUtils class
[2026-01-09 13:38:19,042] 63 root - INFO - Exited the save_object method of MainUtils class
[2026-01-09 13:38:19,043] 59 root - INFO - Entered the save_object method of MainUtils class
[2026-01-09 13:38:19,057] 63 root - INFO - Exited the save_object method of MainUtils class
[2026-01-09 13:38:19,057] 157 root - INFO - Model trainer artifact created: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_09_2026_13_34_33\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991567958241317, precision_score=0.9901764234161988, recall_score=0.9929634097305992), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9713563605728728, precision_score=0.9680940386230059, recall_score=0.9746407438715131))
[2026-01-09 13:38:19,058] 65 root - INFO - Model training completed
[2026-01-09 13:38:19,059] 52 root - INFO - Model Training artifact created
